1,.net,807,680,679
2,asp.net-web-api,158,3029,3028
3,delphi,113,20,19
4,c++,2347,15,14
5,string,586,585,584
6,casting,15,6304,6303
7,google-maps,475,891,890
8,angularjs,1414,22,21
9,jasmine,6,1701,1700
10,karma-jasmine,4,6753,6752
11,typescript,602,737,736
12,perl,55,306,305
13,ios,545,616,615
14,xcode,334,690,689
15,elixir,3,4210,4209
16,javascript,15829,86,85
18,ruby-on-rails,579,4000,3999
20,ruby,366,283,282
21,vistas,56,662,661
23,jquery,6960,500,499
24,android,7273,116,115
25,socket,170,5008,5007
26,tcpip,12,641,640
27,tcp,27,643,642
28,mysql,7846,99,98
29,datetime,211,1672,1671
30,timestamp,45,692,691
31,sql,4981,144,143
34,join,141,9788,9787
35,oracle,847,578,577
36,oracle-10g,21,590,589
37,asp.net,1953,494,493
38,bower,13,186,185
39,c++11,124,869,868
41,google-apps-script,180,893,892
42,momentjs,45,730,729
44,http,233,1525,1524
45,post,252,5268,5267
47,kendoui,16,1549,1548
49,bash,397,682,681
50,c#,7985,125,124
51,java,12407,173,172
52,spring,501,684,683
53,hibernate,319,672,671
54,python,6072,242,241
55,variables,296,7109,7108
58,git,433,183,182
59,commit,8,10051,10050
62,laravel,3195,166,165
63,php,17321,409,408
64,ajax,2980,686,685
65,html,8537,164,163
66,css,3625,114,113
67,fish,2,28246,28245
68,android-intent,107,10023,10022
69,android-asynctask,132,17927,17926
70,linux,975,327,326
71,shell,173,700,699
72,sed,29,698,697
73,awk,27,1684,1683
74,android-layout,489,650,649
75,unidades-de-medición,3,,
77,pharo,2,1153,1152
78,smalltalk,4,696,695
80,regex,593,240,239
81,email,316,706,705
82,validación,267,1674,1673
83,rendimiento,52,10026,10025
84,optimización,82,834,833
88,wcf,108,1680,1679
89,soap,204,688,687
90,soapui,21,1626,1625
96,try-catch,40,27860,27859
97,str-replace,29,10043,10042
99,git-commit,32,1002,1001
100,dukescript,3,652,651
101,admob,40,867,866
103,funciones,474,5006,5005
105,jvm,12,631,630
107,eclipse,479,919,918
108,depuración,27,2363,2362
109,jboss,42,1610,1609
110,vagrant,26,1592,1591
111,puppet,1,716,715
114,doctrine,46,5395,5394
115,doctrine2,48,5493,5492
116,matemáticas,95,3899,3898
117,coma-flotante,12,5274,5273
119,laravel-5,1695,216,215
123,zsh,4,531,530
124,django,1444,658,657
128,constructor,63,2395,2394
129,clase-abstracta,33,10037,10036
130,mercurial,3,887,886
131,control-de-versiones,24,1608,1607
132,pip,46,7107,7106
133,ubuntu,486,529,528
134,python-2.7,553,1519,1518
135,entity-framework,330,1392,1391
136,model-view-controller,51,1697,1696
138,formularios,569,1836,1835
139,html5,3066,527,526
140,comparaciones,51,6306,6305
141,knockoutjs,22,1541,1540
146,css3,1186,965,964
147,3d,15,1620,1619
148,importación,40,30748,30747
149,numpy,173,4811,4810
150,array,1817,843,842
152,google-newsstand-producer,1,533,532
153,objective-c,94,523,522
154,swift,473,694,693
160,visual-studio,1009,929,928
161,programación-funcional,74,525,524
162,android-softkeyboard,10,26491,26490
164,nodejs,1666,674,673
165,ec2,21,3477,3476
166,npm,187,1655,1654
167,aurelia.io,2,1596,1595
168,select2,89,4880,4879
169,rspec,7,656,655
170,python-3.x,2193,1521,1520
171,xml,797,496,495
172,codificación,59,9657,9656
